movie_title,year,place,star_cast,rating,vote,link
The Shawshank Redemption,1994,1,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.22245582291786,,/title/tt0111161/
The Godfather,1972,2,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.148967243321431,,/title/tt0068646/
The Godfather: Part II,1974,3,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.981139484139678,,/title/tt0071562/
The Dark Knight,2008,4,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.972287455047764,,/title/tt0468569/
12 Angry Men,1957,5,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.929004079218425,,/title/tt0050083/
Schindler's List,1993,6,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.905918082793319,,/title/tt0108052/
The Lord of the Rings: The Return of the King,2003,7,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.882661130646762,,/title/tt0167260/
Pulp Fiction,1994,8,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.846195115667642,,/title/tt0110912/
"Il buono, il brutto, il cattivo",1966,9,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.797390996065914,,/title/tt0060196/
 The Lord of the Rings: The Fellowship of the Ring,2001,1,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.774555289431614,,/title/tt0120737/
Fight Club,1999,11,"David Fincher (dir.), Brad Pitt, Edward Norton",8.767852393579902,,/title/tt0137523/
Forrest Gump,1994,12,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.752782896502822,,/title/tt0109830/
Inception,2010,13,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.719328526260933,,/title/tt1375666/
Star Wars: Episode V - The Empire Strikes Back,1980,14,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.699488992655612,,/title/tt0080684/
The Lord of the Rings: The Two Towers,2002,15,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.697944861920165,,/title/tt0167261/
The Matrix,1999,16,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.648524592540797,,/title/tt0133093/
Goodfellas,1990,17,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.643422425510547,,/title/tt0099685/
One Flew Over the Cuckoo's Nest,1975,18,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.640062882364937,,/title/tt0073486/
Shichinin no samurai,1954,19,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.603775895552175,,/title/tt0047478/
Se7en,1995,20,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.591904432368983,,/title/tt0114369/
La vita è bella,1997,21,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.582981262305989,,/title/tt0118799/
Cidade de Deus,2002,22,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.580799149886008,,/title/tt0317248/
The Silence of the Lambs,1991,23,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.574907545583686,,/title/tt0102926/
It's a Wonderful Life,1946,24,"Frank Capra (dir.), James Stewart, Donna Reed",8.571370659617074,,/title/tt0038650/
Hamilton,2020,25,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.561565786754986,,/title/tt8503618/
Star Wars,1977,26,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.557731905515547,,/title/tt0076759/
Saving Private Ryan,1998,27,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.54860521220495,,/title/tt0120815/
Sen to Chihiro no kamikakushi,2001,28,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.54129816894801,,/title/tt0245429/
Gisaengchung,2019,29,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",8.537393399308764,,/title/tt6751668/
The Green Mile,1999,30,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.536352334926859,,/title/tt0120689/
Interstellar,2014,31,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.529246446450198,,/title/tt0816692/
Léon,1994,32,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.512312748562026,,/title/tt0110413/
The Usual Suspects,1995,33,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.502574726353414,,/title/tt0114814/
Seppuku,1962,34,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.49794931293647,,/title/tt0056058/
The Lion King,1994,35,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.491754320104949,,/title/tt0110357/
Back to the Future,1985,36,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.485986611738394,,/title/tt0088763/
The Pianist,2002,37,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.48570522798947,,/title/tt0253474/
Terminator 2: Judgment Day,1991,38,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.48528283076151,,/title/tt0103064/
American History X,1998,39,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.484505574473323,,/title/tt0120586/
Modern Times,1936,40,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.483227885539167,,/title/tt0027977/
Psycho,1960,41,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.477057988879357,,/title/tt0054215/
Gladiator,2000,42,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.476168878748924,,/title/tt0172495/
City Lights,1931,43,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.473227603527492,,/title/tt0021749/
The Departed,2006,44,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.471439648114833,,/title/tt0407887/
The Intouchables,2011,45,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.469590494983999,,/title/tt1675434/
